;Total;DZA;AZE;ARG;AUS;ARM;BRA;BLR;CHL;CHN;TWN;COL;CYP;ECU;EST;GEO;PSE;DEU;GHA;HTI;HKG;IND;IRQ;JPN;KAZ;JOR;KOR;KWT;KGZ;LBN;LBY;MYS;MEX;MAR;NLD;NZL;NGA;PAK;PER;PHL;POL;QAT;ROU;RUS;RWA;SGP;SVN;ZAF;ZWE;ESP;SWE;THA;TTO;TUN;TUR;UKR;EGY;USA;URY;UZB;YEM
Mentioned;70,9;56,3;79,2;57,3;65,9;79,6;77,9;80,6;76,9;65,9;82,4;82;80,7;75;88,4;87,7;68,6;80,9;34,9;34,7;79,3;90,5;70,3;87,3;75;73,1;87,8;60,3;76,3;51,7;71,8;64,9;74,9;63,8;90,8;56,1;42,6;62,3;71,3;67,2;81;75,6;70,4;77,5;72;69,7;83,1;57,4;43,1;78,6;82,5;65,7;48,6;77,3;66,5;75,5;59,2;65,2;81,6;75;68,7
Not mentioned;29;43,7;20,8;42,7;34,1;20,4;22,1;19,4;23,1;34,1;17,6;18;19,3;25;11,6;12,3;31,4;19,1;65,1;65,2;20,7;9,5;29,7;12,7;25;26,9;12,2;39,7;23,7;48,3;28,2;35,1;25,2;36,2;9,2;43,9;57,4;37,7;28,7;32,8;19;24,4;29,6;22,3;28;30,3;16,9;42,6;56,9;21,4;17,5;34,3;51,4;22,7;33,5;24,5;40,8;34,8;18,4;25;31,3
(N);89,567;1,2;1,002;1,03;1,477;1,1;1,486;1,535;1;2,3;1,238;1,512;1;1,202;1,533;1,202;1;2,046;1,552;1,996;1;4,078;1,2;2,443;1,502;1,2;1,2;1,303;1,5;1,2;2,131;1,3;2;1,2;1,902;841;1,759;1,2;1,21;1,2;966;1,06;1,503;2,5;1,527;1,972;1,069;3,531;1,499;1,189;1,206;1,2;999;1,205;1,605;1,5;1,523;2,232;1;1,5;1
