;Total;DZA;AZE;ARG;AUS;ARM;BRA;BLR;CHL;CHN;TWN;COL;CYP;ECU;EST;GEO;PSE;DEU;GHA;HTI;HKG;IND;IRQ;JPN;KAZ;JOR;KOR;KWT;KGZ;LBN;LBY;MYS;MEX;MAR;NLD;NZL;NGA;PAK;PER;PHL;POL;QAT;ROU;RUS;RWA;SGP;SVN;ZAF;ZWE;ESP;SWE;THA;TTO;TUN;TUR;UKR;EGY;USA;URY;UZB;YEM
Mentioned;26,7;17,8;53,6;14,8;36,3;19,7;9;29,8;36,4;10,5;37,5;31,5;39,3;12,6;62,9;12,2;25,3;39,2;23,2;5,3;31;73,5;12,6;33,6;28,6;24,6;49,9;29,4;13,5;23,1;22,5;10,7;18,6;29,7;23;32,1;22,8;16,7;22,9;11,5;41;19,6;29;32,1;8,7;13,7;48,8;24,4;20,6;8,3;37,6;14,6;15,3;18,3;37,9;32,3;20,6;17,6;38,6;8,3;6,5
Not mentioned;73,3;82,2;46,4;85,2;63,7;80,3;91;70,2;63,6;89,5;62,5;68,5;60,7;87,4;37,1;87,8;74,7;60,7;76,8;94,6;69;26,5;87,4;66,4;71,4;75,4;50,1;70,6;86,5;76,9;77,5;89,3;81,4;70,3;77;67,9;77,2;83,3;77,1;88,5;59;80,4;71;67,9;91,3;86,3;51,2;75,6;79,4;91,7;62,4;85,4;84,7;81,7;62,1;67,7;79,4;82,4;61,4;91,7;93,5
(N);89,567;1,2;1,002;1,03;1,477;1,1;1,486;1,535;1;2,3;1,238;1,512;1;1,202;1,533;1,202;1;2,046;1,552;1,996;1;4,078;1,2;2,443;1,502;1,2;1,2;1,303;1,5;1,2;2,131;1,3;2;1,2;1,902;841;1,759;1,2;1,21;1,2;966;1,06;1,503;2,5;1,527;1,972;1,069;3,531;1,499;1,189;1,206;1,2;999;1,205;1,605;1,5;1,523;2,232;1;1,5;1
