;Total;DZA;AZE;ARG;AUS;ARM;BRA;BLR;CHL;CHN;TWN;COL;CYP;ECU;EST;GEO;PSE;DEU;GHA;HTI;HKG;IND;IRQ;JPN;KAZ;JOR;KOR;KWT;KGZ;LBN;LBY;MYS;MEX;MAR;NLD;NZL;NGA;PAK;PER;PHL;POL;QAT;ROU;RUS;RWA;SGP;SVN;ZAF;ZWE;ESP;SWE;THA;TTO;TUN;TUR;UKR;EGY;USA;URY;UZB;YEM
Mentioned;41,7;47,9;6,4;35,3;28,2;24,2;51,5;33,8;45,8;7,5;11,1;66,4;37,2;59,7;62,7;18,8;48,2;12,6;73,8;84,3;17,7;89,9;68,4;5;32,9;56,2;8,7;56,3;38,6;17,4;59;24,9;54,6;29,2;25,6;24,1;62,8;50;52,3;40,8;34,1;46,9;13;34,8;60,6;37,5;41,2;37,2;70,1;31,4;12,2;44,2;71,9;38,7;33,9;42,3;42,1;27,9;51,6;24,5;70
Not mentioned;58,3;52,1;93,6;64,7;71,8;75,8;48,5;66,2;54,2;92,5;88,9;33,6;62,8;40,3;37,3;81,2;51,8;87,4;26,2;15,7;82,3;10,1;31,6;95;67,1;43,8;91,3;43,7;61,4;82,6;41;75,1;45,4;70,8;74,4;75,9;37,2;50;47,7;59,2;65,9;53,1;87;64,6;39,4;62,5;58,8;62,8;29,9;68,6;87,8;55,8;28,1;61,3;66,1;57,7;57,9;72,1;48,4;75,5;30
(N);89,567;1,2;1,002;1,03;1,477;1,1;1,486;1,535;1;2,3;1,238;1,512;1;1,202;1,533;1,202;1;2,046;1,552;1,996;1;4,078;1,2;2,443;1,502;1,2;1,2;1,303;1,5;1,2;2,131;1,3;2;1,2;1,902;841;1,759;1,2;1,21;1,2;966;1,06;1,503;2,5;1,527;1,972;1,069;3,531;1,499;1,189;1,206;1,2;999;1,205;1,605;1,5;1,523;2,232;1;1,5;1
