;Total;DZA;AZE;ARG;AUS;ARM;BRA;BLR;CHL;CHN;TWN;COL;CYP;ECU;EST;GEO;PSE;DEU;GHA;HTI;HKG;IND;IRQ;JPN;KAZ;JOR;KOR;KWT;KGZ;LBN;LBY;MYS;MEX;MAR;NLD;NZL;NGA;PAK;PER;PHL;POL;QAT;ROU;RUS;RWA;SGP;SVN;ZAF;ZWE;ESP;SWE;THA;TTO;TUN;TUR;UKR;EGY;USA;URY;UZB;YEM
Mentioned;68;61,4;71,7;58,2;86,3;56,3;64,2;60,7;82;52,2;77,4;86,4;69,7;67,7;84,5;67,4;70,3;66,7;66,1;43,8;69,2;89,3;74,2;64,6;60;76,5;40,8;67,8;57,6;46,9;80;74,6;77,9;56,6;86;83,1;59,8;52,8;67,6;62,3;82,6;76,9;65,2;63,5;56,4;54,1;81,2;52,5;63,8;74,1;87;64,7;84,2;54,9;61,4;59;62,3;71,8;82;80,5;80
Not mentioned;32;38,6;28,3;41,8;13,7;43,7;35,8;39,3;18;47,8;22,6;13,6;30,3;32,3;15,5;32,6;29,7;33,3;33,9;56,1;30,8;10,7;25,8;35,4;40;23,5;59,2;32,2;42,4;53,1;20;25,4;22,1;43,4;14;16,9;40,2;47,2;32,4;37,7;17,4;23,1;34,8;36,2;43,6;45,9;18,8;47,5;36,2;25,9;13;35,3;15,8;45,1;38,6;41;37,7;28,2;18;19,5;20
(N);89,567;1,2;1,002;1,03;1,477;1,1;1,486;1,535;1;2,3;1,238;1,512;1;1,202;1,533;1,202;1;2,046;1,552;1,996;1;4,078;1,2;2,443;1,502;1,2;1,2;1,303;1,5;1,2;2,131;1,3;2;1,2;1,902;841;1,759;1,2;1,21;1,2;966;1,06;1,503;2,5;1,527;1,972;1,069;3,531;1,499;1,189;1,206;1,2;999;1,205;1,605;1,5;1,523;2,232;1;1,5;1
