;Total;DZA;AZE;ARG;AUS;ARM;BRA;BLR;CHL;CHN;TWN;COL;CYP;ECU;EST;GEO;PSE;DEU;GHA;HTI;HKG;IND;IRQ;JPN;KAZ;JOR;KOR;KWT;KGZ;LBN;LBY;MYS;MEX;MAR;NLD;NZL;NGA;PAK;PER;PHL;POL;QAT;ROU;RUS;RWA;SGP;SVN;ZAF;ZWE;ESP;SWE;THA;TTO;TUN;TUR;UKR;EGY;USA;URY;UZB;YEM
Mentioned;51,5;31,2;58,5;44,1;65;28;37,6;38,6;49,2;69,7;72,3;36,4;43,1;37,4;54,5;61,6;42,9;73,5;28,8;16,8;72,6;89,9;36,8;67,7;43,7;43,6;57,8;41,8;61,2;32,3;38,4;71,7;38,5;43;60,7;53,5;38,9;43,1;33,3;65;43,4;34,3;42,2;37,8;30,3;72,1;88;63,5;39,1;43,1;70,3;35,9;58,6;55,1;35;42,8;80,2;53,6;48,2;57,6;30,6
Not mentioned;48,5;68,8;41,5;55,9;35;72;62,4;61,4;50,8;30,3;27,7;63,6;56,9;62,6;45,5;38,4;57,1;26,5;71,2;83,1;27,4;10,1;63,2;32,3;56,3;56,4;42,2;58,2;38,8;67,7;61,6;28,3;61,5;57;39,3;46,5;61,1;56,9;66,7;35;56,6;65,7;57,8;61,7;69,7;27,9;12;36,5;60,9;56,9;29,7;64,1;41,4;44,9;65;57,2;19,8;46,4;51,8;42,4;69,4
(N);89,567;1,2;1,002;1,03;1,477;1,1;1,486;1,535;1;2,3;1,238;1,512;1;1,202;1,533;1,202;1;2,046;1,552;1,996;1;4,078;1,2;2,443;1,502;1,2;1,2;1,303;1,5;1,2;2,131;1,3;2;1,2;1,902;841;1,759;1,2;1,21;1,2;966;1,06;1,503;2,5;1,527;1,972;1,069;3,531;1,499;1,189;1,206;1,2;999;1,205;1,605;1,5;1,523;2,232;1;1,5;1
