;Total;DZA;AZE;ARG;AUS;ARM;BRA;BLR;CHL;CHN;TWN;COL;CYP;ECU;EST;GEO;PSE;DEU;GHA;HTI;HKG;IND;IRQ;JPN;KAZ;JOR;KOR;KWT;KGZ;LBN;LBY;MYS;MEX;MAR;NLD;NZL;NGA;PAK;PER;PHL;POL;QAT;ROU;RUS;RWA;SGP;SVN;ZAF;ZWE;ESP;SWE;THA;TTO;TUN;TUR;UKR;EGY;USA;URY;UZB;YEM
Mentioned;60,5;59,5;74;40,6;59,1;81,9;64,1;87,6;30,5;75,3;40,4;13,6;40,8;44,3;87,5;91,3;43;17,9;85,5;78,4;58;94,6;57,8;35,1;84,7;39,5;64,3;51,3;84,6;39,8;41,4;43,6;38;67,1;31,3;50,2;78;55,7;16,5;69,5;17,9;48,9;77,3;84,5;69,2;60,8;50,9;70,2;76;66,6;13,8;78,3;61,4;73,9;72;85,8;50,4;66,4;21,8;92,7;31,7
Not mentioned;39,5;40,5;26;59,4;40,9;18,1;35,9;12,4;69,5;24,7;59,6;86,4;59,2;55,7;12,5;8,7;57;82;14,5;21,6;42;5,4;42,2;64,9;15,3;60,5;35,7;48,7;15,4;60,2;58,6;56,4;62;32,9;68,7;49,8;22;44,3;83,5;30,5;82,1;51,1;22,7;15,4;30,8;39,2;49,1;29,8;24;33,4;86,2;21,7;38,6;26,1;28;14,2;49,6;33,6;78,2;7,3;68,3
(N);89,567;1,2;1,002;1,03;1,477;1,1;1,486;1,535;1;2,3;1,238;1,512;1;1,202;1,533;1,202;1;2,046;1,552;1,996;1;4,078;1,2;2,443;1,502;1,2;1,2;1,303;1,5;1,2;2,131;1,3;2;1,2;1,902;841;1,759;1,2;1,21;1,2;966;1,06;1,503;2,5;1,527;1,972;1,069;3,531;1,499;1,189;1,206;1,2;999;1,205;1,605;1,5;1,523;2,232;1;1,5;1
