;Total;DZA;AZE;ARG;AUS;ARM;BRA;BLR;CHL;CHN;TWN;COL;CYP;ECU;EST;GEO;PSE;DEU;GHA;HTI;HKG;IND;IRQ;JPN;KAZ;JOR;KOR;KWT;KGZ;LBN;LBY;MYS;MEX;MAR;NLD;NZL;NGA;PAK;PER;PHL;POL;QAT;ROU;RUS;RWA;SGP;SVN;ZAF;ZWE;ESP;SWE;THA;TTO;TUN;TUR;UKR;EGY;USA;URY;UZB;YEM
Mentioned;41,1;64,7;19,4;23,2;15,2;38,1;49,8;14,4;27,5;1,2;9;60,3;37,4;49;18,8;63,6;76,2;12,1;70,6;12,3;10,9;83,1;75;4,4;10;79,8;25;73,8;24,8;33,6;79,1;63,8;35,3;77,6;13,9;15,9;72,7;72,8;42,1;59,8;39,5;84,7;51,7;13,9;42,2;26,2;23,4;44,3;59,6;10,6;4,4;34,7;68,1;76,1;39,7;22,3;83,4;43,1;15,8;5,7;84,5
Not mentioned;58,9;35,3;80,6;76,8;84,8;61,9;50,2;85,6;72,5;98,8;91;39,7;62,6;51;81,2;36,4;23,8;87,9;29,4;87,6;89,1;16,9;25;95,6;90;20,2;75;26,2;75,2;66,4;20,9;36,2;64,7;22,4;86,1;84,1;27,3;27,2;57,9;40,2;60,5;15,3;48,3;85,5;57,8;73,8;76,6;55,7;40,4;89,4;95,6;65,3;31,9;23,9;60,3;77,7;16,6;56,9;84,2;94,3;15,5
(N);89,567;1,2;1,002;1,03;1,477;1,1;1,486;1,535;1;2,3;1,238;1,512;1;1,202;1,533;1,202;1;2,046;1,552;1,996;1;4,078;1,2;2,443;1,502;1,2;1,2;1,303;1,5;1,2;2,131;1,3;2;1,2;1,902;841;1,759;1,2;1,21;1,2;966;1,06;1,503;2,5;1,527;1,972;1,069;3,531;1,499;1,189;1,206;1,2;999;1,205;1,605;1,5;1,523;2,232;1;1,5;1
