;Total;DZA;AZE;ARG;AUS;ARM;BRA;BLR;CHL;CHN;TWN;COL;CYP;ECU;EST;GEO;PSE;DEU;GHA;HTI;HKG;IND;IRQ;JPN;KAZ;JOR;KOR;KWT;KGZ;LBN;LBY;MYS;MEX;MAR;NLD;NZL;NGA;PAK;PER;PHL;POL;QAT;ROU;RUS;RWA;SGP;SVN;ZAF;ZWE;ESP;SWE;THA;TTO;TUN;TUR;UKR;EGY;USA;URY;UZB;YEM
Mentioned;39,4;31,2;52,8;13,4;30,7;28,5;26,6;55;36,4;50,7;54,1;29,4;30,6;47,3;77;24,6;37,4;38,1;24,4;3,8;43,7;85,7;27,4;47,8;52,8;27,9;65,1;36,5;41,3;24,5;29,8;60,4;34,6;23,8;47,5;33,4;19,1;42,4;23,8;41,9;49,5;25,2;39,4;50,3;41,9;47,4;54,6;30,4;25,1;29,6;38,6;53;35,2;23,2;39,4;45,1;22,5;31,6;20,6;33,2;38,3
Not mentioned;60,6;68,8;47,2;86,6;69,3;71,5;73,4;45;63,6;49,3;45,9;70,6;69,4;52,7;23;75,4;62,6;61,9;75,6;96,1;56,3;14,3;72,6;52,2;47,2;72,1;34,9;63,5;58,7;75,5;70,2;39,6;65,4;76,2;52,5;66,6;80,9;57,6;76,2;58,1;50,5;74,8;60,6;49,3;58,1;52,6;45,4;69,6;74,9;70,4;61,4;47;64,8;76,8;60,6;54,9;77,5;68,4;79,4;66,8;61,7
(N);89,567;1,2;1,002;1,03;1,477;1,1;1,486;1,535;1;2,3;1,238;1,512;1;1,202;1,533;1,202;1;2,046;1,552;1,996;1;4,078;1,2;2,443;1,502;1,2;1,2;1,303;1,5;1,2;2,131;1,3;2;1,2;1,902;841;1,759;1,2;1,21;1,2;966;1,06;1,503;2,5;1,527;1,972;1,069;3,531;1,499;1,189;1,206;1,2;999;1,205;1,605;1,5;1,523;2,232;1;1,5;1
